$,SN2018dfi,16:50:50.14,+45:23:52.07,2000,1,;
0,480,g,5,1,1,;
0,480,r,5,1,1,;
0,480,i,5,1,1,;
$,AT2018hlr,18:20:33.17,+41:58:04.41,2000,1,;
0,420,B,5,1,1,;
0,420,V,5,1,1,;
0,360,g,5,1,1,;
0,360,r,5,1,1,;
0,360,i,5,1,1,;
$,asassn-18ey,18:20:21.94,+07:11:07.89,2000,1,;
0,380,B,5,1,1,;
0,320,V,5,1,1,;
0,300,g,5,1,1,;
0,300,r,5,1,1,;
0,300,i,5,1,1,;
$,SN2018zf,19:27:19.63,+65:33:53.78,2000,1,;
0,480,B,5,1,1,;
0,480,V,5,1,1,;
0,420,g,5,1,1,;
0,420,r,5,1,1,;
0,420,i,5,1,1,;
$,SN2017eaw,20:34:44.24,+60:11:35.90,2000,1,;
0,600,B,5,1,1,;
0,600,V,5,1,1,;
0,500,R,5,1,1,;
0,500,I,5,1,1,;
$,pgc69367,22:37:53.29,+25:11:32.74,2000,1,;
0,300,g,5,1,1,;
$,pgc69342,22:37:24.51,+23:47:53.73,2000,1,;
0,60,g,5,1,1,;
$,pgc69364,22:37:47.05,+23:47:12.21,2000,1,;
0,180,g,5,1,1,;
$,pgc87138,22:28:06.76,+23:22:34.12,2000,1,;
0,360,g,5,1,1,;
$,pgc68793,22:24:47.72,+22:58:17.71,2000,1,;
0,360,g,5,1,1,;
$,pgc68454,22:16:08.29,+22:56:02.80,2000,1,;
0,300,g,5,1,1,;
$,pgc69702,22:47:00.41,+21:53:45.10,2000,1,;
0,300,g,5,1,1,;
$,pgc68162,22:09:15.23,+21:31:05.62,2000,1,;
0,240,g,5,1,1,;
$,pgc1636146,22:03:51.45,+20:47:52.54,2000,1,;
0,360,g,5,1,1,;
$,pgc85247,22:34:20.54,+20:41:46.99,2000,1,;
0,360,g,5,1,1,;
$,pgc71354,23:24:34.02,+23:59:12.02,2000,1,;
0,300,g,5,1,1,;
$,pgc71701,23:32:29.06,+23:55:51.80,2000,1,;
0,180,g,5,1,1,;
$,pgc169947,23:34:27.18,+23:54:12.75,2000,1,;
0,360,g,5,1,1,;
$,pgc1694762,23:23:43.20,+23:50:44.70,2000,1,;
0,360,g,5,1,1,;
$,pgc169944,23:08:33.00,+23:37:53.13,2000,1,;
0,360,g,5,1,1,;
$,pgc71850,23:35:51.64,+23:37:07.50,2000,1,;
0,180,g,5,1,1,;
$,pgc71493,23:27:41.10,+23:35:20.16,2000,1,;
0,180,g,5,1,1,;
$,pgc71517,23:28:06.21,+23:31:53.48,2000,1,;
0,180,g,5,1,1,;
$,pgc91817,23:43:14.28,+23:30:42.77,2000,1,;
0,360,g,5,1,1,;
$,pgc71249,23:22:36.81,+23:22:29.20,2000,1,;
0,360,g,5,1,1,;
$,SN2017hcc,00:03:50.58,-11:28:28.78,2000,1,;
0,480,B,5,1,1,;
0,480,V,5,1,1,;
0,420,g,5,1,1,;
0,420,r,5,1,1,;
0,420,i,5,1,1,;
$,AT2018hrg,01:09:26.33,+35:42:39.60,2000,1,;
0,300,B,5,1,1,;
0,300,V,5,1,1,;
0,300,g,5,1,1,;
0,300,r,5,1,1,;
0,300,i,5,1,1,;
$,AT2018gjx,02:16:15.55,+28:35:28.70,2000,1,;
0,360,B,5,1,1,;
0,360,V,5,1,1,;
0,320,g,5,1,1,;
0,320,r,5,1,1,;
0,320,i,5,1,1,;
$,SwiftJ0243.6+6124,02:43:40.33,+61:26:02.8,2000,1,;
0,300,R,5,1,1,;
0,300,I,5,1,1,;
0,300,V,5,1,1,;
0,320,B,5,1,1,;
0,360,U,5,1,1,;
$,SN2018hti,03:40:53.75,+11:46:37.29,2000,1,;
0,360,B,5,1,1,;
